AHRI #,CONDENSER,COIL,FURNACE,EER2,SEER2,HSPF2,FINANCE,25C
214589057.0,RP14AY18AJ1NA,RCFY2417STANMC,R951V0403A17M4SCAP,11.7,14.3,7.5,Yes - Furn w/Econet,No
214589047.0,RP14AY18AJ1NA,RCFY2417STANMC,R951V0603A17M4SCAP,11.7,14.3,7.5,Yes - Furn w/Econet,No
214589068.0,RP14AY18AJ1NA,RCFY2417STANMC,R951V0703A17M4SCAP,11.7,14.3,7.5,Yes - Furn w/Econet,No
214589482.0,RP14AY24AJ2NA,RCFY2417STANMC,R951V0403A17M4SCAP,10.5,14.8,7.5,Yes - Furn w/Econet,No
214589450.0,RP14AY24AJ2NA,RCFY2417STANMC,R951V0603A17M4SCAP,10.5,14.8,7.5,Yes - Furn w/Econet,No
214589468.0,RP14AY24AJ2NA,RCFY2417STANMC,R951V0703A17M4SCAP,10.5,14.8,7.5,Yes - Furn w/Econet,No
214589704.0,RP14AY30AJ2NA,RCFY3617STANMC,R951V0403A17M4SCAP,10.5,14.8,7.5,Yes - Furn w/Econet,No
214589706.0,RP14AY30AJ2NA,RCFY3617STANMC,R951V0703A17M4SCAP,10.5,14.8,7.5,Yes - Furn w/Econet,No
214592271.0,RP14AY30AJ2NA,RCFY3621STANMC,R951V0705A21M4SCAP,10.5,14.8,7.5,Yes - Furn w/Econet,No
214591354.0,RP14AY30AJ2NA,RCFY3621STANMC,R951V0855A21M4SCAP,10.5,14.8,7.5,Yes - Furn w/Econet,No
214592261.0,RP14AY30AJ2NA,RCFY3621STANMC,R951V1005A21M4SCAP,10.5,14.8,7.5,Yes - Furn w/Econet,No
214589964.0,RP14AY36AJ2NA,RCFY3617STANMC,R951V0403A17M4SCAP,10.5,14.8,7.5,Yes - Furn w/Econet,No
214589966.0,RP14AY36AJ2NA,RCFY3617STANMC,R951V0603A17M4SCAP,10.5,14.8,7.5,Yes - Furn w/Econet,No
214589975.0,RP14AY36AJ2NA,RCFY3617STANMC,R951V0703A17M4SCAP,10.5,14.8,7.5,Yes - Furn w/Econet,No
214591887.0,RP14AY36AJ2NA,RCFY3621STANMC,R951V0705A21M4SCAP,10.5,14.8,7.5,Yes - Furn w/Econet,No
214591898.0,RP14AY36AJ2NA,RCFY3621STANMC,R951V0855A21M4SCAP,10.5,14.8,7.5,Yes - Furn w/Econet,No
214591797.0,RP14AY36AJ2NA,RCFY3621STANMC,R951V1005A21M4SCAP,10.5,14.8,7.5,Yes - Furn w/Econet,No
214590176.0,RP14AY42AJ2NA,RCFY4821STANMC,R951V0705A21M4SCAP,10.5,14.8,7.5,Yes - Furn w/Econet,No
214590172.0,RP14AY42AJ2NA,RCFY4821STANMC,R951V0855A21M4SCAP,10.5,15.2,7.5,Yes - Furn w/Econet,No
214590196.0,RP14AY42AJ2NA,RCFY4821STANMC,R951V1005A21M4SCAP,10.5,14.8,7.5,Yes - Furn w/Econet,No
214592440.0,RP14AY42AJ2NA,RCFY4824STANMC,R951V1155A24M4SCAP,11.7,15.2,7.8,Yes - Furn w/Econet,No
214590528.0,RP14AY48AJ2NA,RCFY4821STANMC,R951V0705A21M4SCAP,10.5,14.8,7.8,Yes - Furn w/Econet,No
214590591.0,RP14AY48AJ2NA,RCFY4821STANMC,R951V0855A21M4SCAP,10.5,14.8,7.8,Yes - Furn w/Econet,No
214590589.0,RP14AY48AJ2NA,RCFY4821STANMC,R951V1005A21M4SCAP,10.5,14.8,7.5,Yes - Furn w/Econet,No
214591997.0,RP14AY48AJ2NA,RCFY4824STANMC,R951V1155A24M4SCAP,10.5,15.2,7.8,Yes - Furn w/Econet,No
214590747.0,RP14AY60AJ2NA,RCFY6021STAAMC,R951V0705A21M4SCAP,10.5,14.8,7.8,Yes - Furn w/Econet,No
214590767.0,RP14AY60AJ2NA,RCFY6021STAAMC,R951V0855A21M4SCAP,10.5,14.8,7.8,Yes - Furn w/Econet,No
214590769.0,RP14AY60AJ2NA,RCFY6021STAAMC,R951V1005A21M4SCAP,10.5,14.8,7.8,Yes - Furn w/Econet,No
214594818.0,RP14AY60AJ2NA,RCFY6024STANMC,R951V1155A24M4SCAP,10.5,15.2,7.8,Yes - Furn w/Econet,No
,,,,,,,,
215654449.0,RP15AY18AJ2NA,RCFY2417STANMC,R951V0603A17M4SCAP,11.7,15.2,7.7,Yes ,No
215654612.0,RP15AY24AJ2NA,RCFY2417STANMC,R951V0403A17M4SCAP,9.0,15.2,7.7,Yes ,No
215654583.0,RP15AY24AJ2NA,RCFY2417STANMC,R951V0603A17M4SCAP,9.0,15.2,7.7,Yes ,No
215654619.0,RP15AY24AJ2NA,RCFY2417STANMC,R951V0703A17M4SCAP,9.0,15.2,7.7,Yes ,No
215654810.0,RP15AY30AJ2NA,RCFY3617STANMC,R951V0403A17M4SCAP,9.0,15.0,7.5,Yes ,No
215654838.0,RP15AY30AJ2NA,RCFY3617STANMC,R951V0603A17M4SCAP,9.0,15.0,7.5,Yes ,No
215654804.0,RP15AY30AJ2NA,RCFY3617STANMC,R951V0703A17M4SCAP,9.0,15.0,7.5,Yes ,No
215657419.0,RP15AY30AJ2NA,RCFY3621STANMC,R951V0705A21M4SCAP,9.0,14.3,7.5,Yes ,No
215657408.0,RP15AY30AJ2NA,RCFY3621STANMC,R951V1005A21M4SCAP,9.0,14.3,7.5,Yes ,No
215656961.0,RP15AY36AJ2NA,RCFY3617STANMC,R951V0403A17M4SCAP,11.7,15.2,7.8,Yes ,No
215656870.0,RP15AY36AJ2NA,RCFY3617STANMC,R951V0603A17M4SCAP,11.7,15.2,7.8,Yes ,No
215656880.0,RP15AY36AJ2NA,RCFY3617STANMC,R951V0703A17M4SCAP,11.7,15.2,7.8,Yes ,No
215656836.0,RP15AY36AJ2NA,RCFY3621STANMC,R951V0705A21M4SCAP,11.7,15.2,7.8,Yes ,No
215656937.0,RP15AY36AJ2NA,RCFY3621STANMC,R951V0855A21M4SCAP,11.7,15.2,7.8,Yes ,No
215656982.0,RP15AY36AJ2NA,RCFY3621STANMC,R951V1005A21M4SCAP,11.7,15.2,7.8,Yes ,No
215654952.0,RP15AY42AJ2NA,RCFY4821STANMC,R951V0705A21M4SCAP,11.7,16.0,8.1,Yes ,Yes
215654979.0,RP15AY42AJ2NA,RCFY4821STANMC,R951V0855A21M4SCAP,11.7,16.0,8.1,Yes ,Yes
215655024.0,RP15AY42AJ2NA,RCFY4821STANMC,R951V1005A21M4SCAP,11.7,16.0,8.1,Yes ,Yes
215655126.0,RP15AY42AJ2NA,RCFY4824STANMC,R951V1155A24M4SCAP,11.7,16.0,8.1,Yes ,Yes
215655488.0,RP15AY48AJ2NA,RCFY4821STANMC,R951V0705A21M4SCAP,10.0,15.2,8.1,Yes ,No
215655630.0,RP15AY48AJ2NA,RCFY4821STANMC,R951V0855A21M4SCAP,10.0,15.2,8.1,Yes ,No
215655556.0,RP15AY48AJ2NA,RCFY4821STANMC,R951V1005A21M4SCAP,10.0,15.2,8.1,Yes ,No
215655608.0,RP15AY48AJ2NA,RCFY4824STANMC,R951V1155A24M4SCAP,10.0,15.2,8.1,Yes ,No
215657625.0,RP15AY60AJ2NA,RCFY6021STAAMC,R951V0705A21M4SCAP,9.0,14.3,7.7,Yes ,No
215657657.0,RP15AY60AJ2NA,RCFY6021STAAMC,R951V0855A21M4SCAP,9.0,14.3,7.7,Yes ,No
215657639.0,RP15AY60AJ2NA,RCFY6021STAAMC,R951V1005A21M4SCAP,9.0,14.3,7.7,Yes ,No
215655894.0,RP15AY60AJ2NA,RCFY6024STANMC,R951V1155A24M4SCAP,9.0,15.2,7.7,Yes ,No
,,,,,,,,
216891633.0,RD18AY36AJVCA,RCFY3617STANMC,R951V0403A17M4SCAP,12.0,18.0,8.5,Yes,Yes
216891475.0,RD18AY36AJVCA,RCFY3617STANMC,R951V0603A17M4SCAP,12.0,18.0,8.5,Yes,Yes
216891729.0,RD18AY36AJVCA,RCFY3617STANMC,R951V0703A17M4SCAP,12.0,18.0,8.5,Yes,Yes
216891536.0,RD18AY36AJVCA,RCFY3621STANMC,R951V0705A21M4SCAP,12.0,18.0,8.5,Yes,Yes
216891511.0,RD18AY36AJVCA,RCFY3621STANMC,R951V0855A21M4SCAP,12.0,19.0,8.5,Yes,Yes
216891519.0,RD18AY36AJVCA,RCFY3621STANMC,R951V1005A21M4SCAP,12.0,18.0,8.5,Yes,Yes
216891767.0,RD18AY36AJVCA,RCFY3624MTANMC,R951V1155A24M4SCAP,12.0,19.0,10.0,Yes,Yes
216819740.0,RD18AY48AJVCA,RCFY4821STANMC,R951V0705A21M4SCAP,10.0,17.0,8.1,Yes,No
216819929.0,RD18AY48AJVCA,RCFY4821STANMC,R951V0855A21M4SCAP,10.0,17.0,8.1,Yes,No
216820010.0,RD18AY48AJVCA,RCFY4821STANMC,R951V1005A21M4SCAP,10.0,17.0,8.1,Yes,No
216891430.0,RD18AY48AJVCA,RCFY4824MTANMC,R951V1155A24M4SCAP,11.7,18.0,8.5,Yes,Yes
216820123.0,RD18AY48AJVCA,RCFY4824STANMC,R951V1155A24M4SCAP,10.0,18.0,8.1,Yes,No
216820593.0,RD18AY60AJVCA,RCFY6021STAAMC,R951V0705A21M4SCAP,10.0,16.0,8.1,Yes,No
216820531.0,RD18AY60AJVCA,RCFY6021STAAMC,R951V0855A21M4SCAP,10.0,16.0,8.1,Yes,No
216820580.0,RD18AY60AJVCA,RCFY6021STAAMC,R951V1005A21M4SCAP,10.0,16.0,8.1,Yes,No
216820245.0,RD18AY60AJVCA,RCFY6024STANMC,R951V1005A21M4SCAP,10.0,17.0,10.0,Yes,Yes
216820352.0,RD18AY60AJVCA,RCFY6024STANMC,R951V1155A24M4SCAP,11.0,17.0,10.0,Yes,Yes
